longitude,latitude,timestamp,osm_way_id
-81.3629718,28.6274295,2022-02-09 22:52:33,1009915728
-81.3623219,28.6274271,2022-02-09 22:52:38,1009915728
-81.3630117,28.6274446,2022-02-11 23:33:06,1009915728
-81.3623041,28.6274411,2022-02-11 23:33:11,1009915728
-81.36331779999999,28.6274447,2022-02-14 22:34:19,1009915728
-81.3626496,28.6274329,2022-02-14 22:34:24,1009915728
-81.3632824,28.6274288,2022-02-15 01:51:07,1009915728
-81.36278229999999,28.6274265,2022-02-15 01:51:12,1009915728
-81.3620418,28.6274289,2022-02-15 01:51:17,1009915728
-81.3631506,28.6274325,2022-02-17 23:54:57,1009915728
-81.362473,28.6274313,2022-02-17 23:55:02,1009915728
-81.3632696,28.6274578,2022-02-18 16:15:37,1009915728
-81.36256209999999,28.6274532,2022-02-18 16:15:42,1009915728
-81.3633565,28.6274981,2022-02-18 23:11:16,1009915728
-81.3628548,28.6274671,2022-02-18 23:11:21,1009915728
-81.3621356,28.6274683,2022-02-18 23:11:26,1009915728
-81.363044,28.6274593,2022-02-19 23:31:53,1009915728
-81.3623412,28.6274578,2022-02-19 23:31:58,1009915728
-81.3632951,28.6274285,2022-02-21 03:37:10,1009915728
-81.3626738,28.6274417,2022-02-21 03:37:15,1009915728
-81.3619446,28.6274619,2022-02-21 03:37:20,1009915728
-81.3635426,28.6273903,2022-02-05 20:16:34,1009915729
-81.3635625,28.6270204,2022-02-05 20:16:39,1009915729
-81.3635629,28.6266138,2022-02-05 20:16:44,1009915729
-81.3636279,28.6271511,2022-02-13 19:01:19,1009915729
-81.3636243,28.6266083,2022-02-13 19:01:24,1009915729
-81.3636234,28.6261486,2022-02-13 19:01:29,1009915729
-81.36362559999999,28.6259494,2022-02-13 19:01:34,1009915729
-81.3636223,28.6259374,2022-02-13 19:01:39,1009915729
-81.3635572,28.6273535,2022-02-15 00:01:43,1009915729
-81.3635597,28.6268424,2022-02-15 00:01:48,1009915729
-81.3635568,28.6261772,2022-02-15 00:01:53,1009915729
-81.3635757,28.6272788,2022-02-18 16:28:38,1009915729
-81.3635692,28.6268386,2022-02-18 16:28:43,1009915729
-81.36356579999999,28.626413,2022-02-18 16:28:48,1009915729
-81.3635632,28.6262144,2022-02-18 16:28:53,1009915729
-81.3635656,28.6261964,2022-02-18 16:28:58,1009915729
-81.3635676,28.6261893,2022-02-18 16:29:03,1009915729
-81.3635675,28.6261856,2022-02-18 16:29:08,1009915729
-81.3635651,28.6261812,2022-02-18 16:29:13,1009915729
-81.3635587,28.6261766,2022-02-18 16:29:18,1009915729
-81.36355069999999,28.626173,2022-02-18 16:29:23,1009915729
-81.3635449,28.626124,2022-02-18 16:29:28,1009915729
-81.3635946,28.6274091,2022-02-19 20:28:58,1009915729
-81.363613,28.6269455,2022-02-19 20:29:03,1009915729
-81.3636105,28.6262895,2022-02-19 20:29:08,1009915729
-81.3635687,28.6273463,2022-02-20 00:13:32,1009915729
-81.36358,28.6269749,2022-02-20 00:13:37,1009915729
-81.3635761,28.6266564,2022-02-20 00:13:42,1009915729
-81.36357629999999,28.6264516,2022-02-20 00:13:47,1009915729
-81.3635762,28.6264071,2022-02-20 00:13:52,1009915729
-81.36357679999999,28.6264063,2022-02-20 00:13:57,1009915729
-81.3635784,28.6264047,2022-02-20 00:14:02,1009915729
-81.3635793,28.6263518,2022-02-20 00:14:07,1009915729
-81.3635742,28.6261014,2022-02-20 00:14:12,1009915729
-81.36364139999999,28.6273497,2022-02-20 19:28:32,1009915729
-81.3636446,28.6271076,2022-02-20 19:28:37,1009915729
-81.3636417,28.6268117,2022-02-20 19:28:42,1009915729
-81.36363829999999,28.6263168,2022-02-20 19:28:47,1009915729
-81.3636406,28.6260354,2022-02-20 19:28:52,1009915729
